Rank,Type,URL,Label
165,Hub page (sector+category+state),https://verdetalent.com/browse/wind-construction-field-jobs-in-washington.html,Construction & Field in Washington - 3 jobs
166,Hub page (sector+category+state),https://verdetalent.com/browse/wind-engineering-jobs-in-colorado.html,Engineering in Colorado - 3 jobs
167,Job posting,https://verdetalent.com/jobs/9a41959ae0c714105bf9.html,Wind Turbine Technician - Power at Avangrid Renewables
168,Job posting,https://verdetalent.com/jobs/1009f8c51b03bcd389c7.html,NDT Manager – Responsible Level III at Commonwealth Fusion Systems
169,Job posting,https://verdetalent.com/jobs/b35f37237928e246399b.html,R&D Engineer - High Voltage at Commonwealth Fusion Systems
170,Job posting,https://verdetalent.com/jobs/061f716f96d6966ad6f7.html,"Associate Engineer, Transmission Line Engineering at Eversource Energy"
171,Job posting,https://verdetalent.com/jobs/d8020d3e20fe3be14190.html,"Project Manager II, Transmission (Hybrid Schedule) at Eversource Energy"
172,Job posting,https://verdetalent.com/jobs/5640fdbebef8f3ba1bcb.html,Manufacturing Engineering Intern (Spring 2027) at First Solar
173,Job posting,https://verdetalent.com/jobs/f142c72ee94823e79c14.html,Manufacturing Engineering Intern (Spring 2027) at First Solar
174,Job posting,https://verdetalent.com/jobs/f2a0e2be0b7f3327b235.html,"Product Owner, Energy Trading Platform (Mosaic) at Fluence Energy"
175,Job posting,https://verdetalent.com/jobs/fab1cbe8743939b81c8b.html,Associate PGD Field Engineer - ROI Solar & BESS - East FL Region at NextEra Energy
176,Job posting,https://verdetalent.com/jobs/75d8592441569beadf1d.html,Associate PGD Field Engineer - ROI Solar & BESS - East FL Region at NextEra Energy
177,Job posting,https://verdetalent.com/jobs/f5c5ebf6e0061f2cc1ac.html,"Field Service Technician, Battery Storage at Redwood Materials"
178,Job posting,https://verdetalent.com/jobs/dd2a910107503badee16.html,Appointment Setter at Sunrun
179,Job posting,https://verdetalent.com/jobs/75deed4d979d89d1ef0b.html,Appointment Setter at Sunrun
180,Job posting,https://verdetalent.com/jobs/4d4d6e1c4aa361bf7520.html,Category Specialist Warehousing and Customs (m/f/d) at Vestas
181,Job posting,https://verdetalent.com/jobs/cf651ad0b50206c8f8e5.html,Commissioning Specialist at Vestas
182,Job posting,https://verdetalent.com/jobs/a41c104892a773ec9f9f.html,Substation Field Engineer (Senior or Principal) at Xcel Energy
183,Job posting,https://verdetalent.com/jobs/4fbca916e1b3cebeb52e.html,Plant Manager - Wind at Avangrid Renewables
184,Job posting,https://verdetalent.com/jobs/ae179d27f2299efd827b.html,Transmission Nuclear Switchyard Technician II or III at Duke Energy
185,Job posting,https://verdetalent.com/jobs/cd767f2018a016cd7477.html,Transmission Relay Tech II at Duke Energy
186,Job posting,https://verdetalent.com/jobs/4c545782054a3281a6ca.html,Controls/SCADA Engineer (m/w/d) at Fluence Energy
187,Job posting,https://verdetalent.com/jobs/fb7af2b6d333a86496fa.html,Wind Technician at Invenergy
188,Job posting,https://verdetalent.com/jobs/46112c5445639b53086c.html,"Account Manager, Business Development at Redwood Materials"
189,Job posting,https://verdetalent.com/jobs/211957a4f67827ab0750.html,"Grid Operations Engineer (Entry, Staff, Senior, or Principal) at Xcel Energy"
190,Job posting,https://verdetalent.com/jobs/b277471a744d57c5baa7.html,"Senior Director, Sales at Bloom Energy"
191,Job posting,https://verdetalent.com/jobs/b81aeb46256cb313579c.html,Wind Technician 1 at Invenergy
192,Job posting,https://verdetalent.com/jobs/7cfd33945d10b5eb0a83.html,Solar Technician II at AES Corporation
193,Job posting,https://verdetalent.com/jobs/18bb1ea5af8093936053.html,"Senior Director, Total Rewards & People Operations at Arcadia"
194,Job posting,https://verdetalent.com/jobs/f89fcd49bf7bc14c8e99.html,Senior Product Manager- Processing at Arcadia
195,Job posting,https://verdetalent.com/jobs/acc889e9df188aec6293.html,SCADA Commissioning Technician at Blattner Energy
196,Job posting,https://verdetalent.com/jobs/d0a9a5343e861a08e647.html,Principal Cloud Engineer at Bloom Energy
197,Job posting,https://verdetalent.com/jobs/e78207fd4795c01085b9.html,Transmission Planning Operations Engineer at AES Corporation
198,Job posting,https://verdetalent.com/jobs/9c6ea615250221099159.html,Environmental Health & Safety Engineer at ChargePoint
199,Job posting,https://verdetalent.com/jobs/616a7b5c5b92064c3c88.html,Sales Manager at ChargePoint
200,Job posting,https://verdetalent.com/jobs/99149a09622278a58d21.html,Accounts Payable Associate at Terawatt Infrastructure
